,index,benchmark,label,runtime,runtime_label,error,error_label,runtime_pred,error_pred,runtime_score,error_score
247,247,lulesh,INVALID,0.924388,1,0.0,0,-1.0,-1.0,-1.0,-1.0
248,248,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
249,249,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
250,250,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
251,251,lulesh,INVALID,16.121788,1,0.0094319384133996,0,-1.0,-1.0,-1.0,-1.0
252,252,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
253,253,lulesh,VALID,15.4828494,1,5.6392430451524e-05,1,-1.0,-1.0,-1.0,-1.0
254,254,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
255,255,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
256,256,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
257,257,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
258,258,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
259,259,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
260,260,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
261,261,lulesh,INVALID,15.753795,1,0.0004811340568267,0,-1.0,-1.0,-1.0,-1.0
262,262,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
263,263,lulesh,INVALID,15.384052,1,0.00025605765767978,0,-1.0,-1.0,-1.0,-1.0
264,264,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
265,265,lulesh,INVALID,15.640454,1,0.00011836150133604,0,-1.0,-1.0,-1.0,-1.0
266,266,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
267,267,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
268,268,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
269,269,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
270,270,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
271,271,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
272,272,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
273,273,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
274,274,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
275,275,lulesh,INVALID,0.758775,1,0.0,0,-1.0,-1.0,-1.0,-1.0
276,276,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
277,277,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
278,278,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
279,279,lulesh,INVALID,15.784654,1,0.18087014913363,0,-1.0,-1.0,-1.0,-1.0
